2023-10-03 15:43:54,755.Netflix_close_consumer.INFO ==================================================
2023-10-03 15:43:54,756.Netflix_close_consumer.INFO Today is 2023-10-03 at 03:43 PM
2023-10-03 15:43:54,756.Netflix_close_consumer.INFO Running on: nt Windows 10
2023-10-03 15:43:54,756.Netflix_close_consumer.INFO Python version:  3.9.12
2023-10-03 15:43:54,758.Netflix_close_consumer.INFO Python path: C:\Users\alhal\miniconda3
2023-10-03 15:43:54,758.Netflix_close_consumer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\Module07_Netflix
2023-10-03 15:43:54,854.Netflix_close_consumer.INFO  [x] Received 9/27/2002,0.720000029
2023-10-03 15:43:54,854.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,855.Netflix_close_consumer.INFO  [x] Received 9/30/2002,0.692857027
2023-10-03 15:43:54,855.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,856.Netflix_close_consumer.INFO  [x] Received 10/1/2002,0.678570986
2023-10-03 15:43:54,856.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,856.Netflix_close_consumer.INFO  [x] Received 10/2/2002,0.578571022
2023-10-03 15:43:54,856.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,858.Netflix_close_consumer.INFO  [x] Received 10/3/2002,0.517857015
2023-10-03 15:43:54,859.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,860.Netflix_close_consumer.INFO  [x] Received 10/4/2002,0.468571007
2023-10-03 15:43:54,860.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,861.Netflix_close_consumer.INFO  [x] Received 10/7/2002,0.412142992
2023-10-03 15:43:54,861.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,861.Netflix_close_consumer.INFO  [x] Received 10/8/2002,0.405000001
2023-10-03 15:43:54,861.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,862.Netflix_close_consumer.INFO  [x] Received 10/9/2002,0.372857004
2023-10-03 15:43:54,862.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,863.Netflix_close_consumer.INFO  [x] Received 10/10/2002,0.506429017
2023-10-03 15:43:54,863.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,864.Netflix_close_consumer.INFO  [x] Received 10/11/2002,0.470714003
2023-10-03 15:43:54,864.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,865.Netflix_close_consumer.INFO  [x] Received 10/14/2002,0.534286022
2023-10-03 15:43:54,865.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,865.Netflix_close_consumer.INFO  [x] Received 10/15/2002,0.550000012
2023-10-03 15:43:54,866.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,866.Netflix_close_consumer.INFO  [x] Received 10/16/2002,0.459286004
2023-10-03 15:43:54,866.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,867.Netflix_close_consumer.INFO  [x] Received 10/17/2002,0.550000012
2023-10-03 15:43:54,867.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,868.Netflix_close_consumer.INFO  [x] Received 10/18/2002,0.682856977
2023-10-03 15:43:54,868.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,868.Netflix_close_consumer.INFO  [x] Received 10/21/2002,0.636429012
2023-10-03 15:43:54,868.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,869.Netflix_close_consumer.INFO  [x] Received 5/23/2002,1.196429014
2023-10-03 15:43:54,869.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,870.Netflix_close_consumer.INFO  [x] Received 5/24/2002,1.210000038
2023-10-03 15:43:54,870.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,870.Netflix_close_consumer.INFO  [x] Received 5/28/2002,1.157142997
2023-10-03 15:43:54,870.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,871.Netflix_close_consumer.INFO  [x] Received 5/29/2002,1.103571057
2023-10-03 15:43:54,871.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,872.Netflix_close_consumer.INFO  [x] Received 5/30/2002,1.071429014
2023-10-03 15:43:54,872.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,872.Netflix_close_consumer.INFO  [x] Received 5/31/2002,1.076429009
2023-10-03 15:43:54,872.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,873.Netflix_close_consumer.INFO  [x] Received 6/3/2002,1.128571033
2023-10-03 15:43:54,875.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,876.Netflix_close_consumer.INFO  [x] Received 6/4/2002,1.117856979
2023-10-03 15:43:54,876.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,877.Netflix_close_consumer.INFO  [x] Received 6/5/2002,1.147143006
2023-10-03 15:43:54,877.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,878.Netflix_close_consumer.INFO  [x] Received 6/6/2002,1.182142973
2023-10-03 15:43:54,878.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,879.Netflix_close_consumer.INFO  [x] Received 6/7/2002,1.118571043
2023-10-03 15:43:54,879.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,880.Netflix_close_consumer.INFO  [x] Received 6/10/2002,1.156429052
2023-10-03 15:43:54,880.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,881.Netflix_close_consumer.INFO  [x] Received 6/11/2002,1.15357101
2023-10-03 15:43:54,881.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,882.Netflix_close_consumer.INFO  [x] Received 6/12/2002,1.092857003
2023-10-03 15:43:54,882.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,883.Netflix_close_consumer.INFO  [x] Received 6/13/2002,1.082857013
2023-10-03 15:43:54,883.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,883.Netflix_close_consumer.INFO  [x] Received 6/14/2002,0.986428976
2023-10-03 15:43:54,883.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,884.Netflix_close_consumer.INFO  [x] Received 6/17/2002,0.922142982
2023-10-03 15:43:54,884.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,885.Netflix_close_consumer.INFO  [x] Received 6/18/2002,0.910713971
2023-10-03 15:43:54,885.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,885.Netflix_close_consumer.INFO  [x] Received 6/19/2002,0.951429009
2023-10-03 15:43:54,886.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,886.Netflix_close_consumer.INFO  [x] Received 6/20/2002,0.957143009
2023-10-03 15:43:54,886.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,887.Netflix_close_consumer.INFO  [x] Received 6/21/2002,0.979286015
2023-10-03 15:43:54,887.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,888.Netflix_close_consumer.INFO  [x] Received 6/24/2002,0.978570998
2023-10-03 15:43:54,888.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,888.Netflix_close_consumer.INFO  [x] Received 6/25/2002,0.964286029
2023-10-03 15:43:54,888.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,891.Netflix_close_consumer.INFO  [x] Received 6/26/2002,0.988570988
2023-10-03 15:43:54,891.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,892.Netflix_close_consumer.INFO  [x] Received 6/27/2002,0.943570971
2023-10-03 15:43:54,892.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,893.Netflix_close_consumer.INFO  [x] Received 6/28/2002,0.999285996
2023-10-03 15:43:54,893.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,894.Netflix_close_consumer.INFO  [x] Received 7/1/2002,1.027856946
2023-10-03 15:43:54,894.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,895.Netflix_close_consumer.INFO  [x] Received 7/2/2002,1.172857046
2023-10-03 15:43:54,895.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,895.Netflix_close_consumer.INFO  [x] Received 7/3/2002,1.21428597
2023-10-03 15:43:54,896.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,896.Netflix_close_consumer.INFO  [x] Received 7/5/2002,1.276429057
2023-10-03 15:43:54,897.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,897.Netflix_close_consumer.INFO  [x] Received 7/8/2002,1.175714016
2023-10-03 15:43:54,897.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,898.Netflix_close_consumer.INFO  [x] Received 7/9/2002,1.16071403
2023-10-03 15:43:54,898.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,899.Netflix_close_consumer.INFO  [x] Received 7/10/2002,1.163571
2023-10-03 15:43:54,899.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,899.Netflix_close_consumer.INFO  [x] Received 7/11/2002,1.269286036
2023-10-03 15:43:54,900.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,900.Netflix_close_consumer.INFO  [x] Received 7/12/2002,1.207857013
2023-10-03 15:43:54,900.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,901.Netflix_close_consumer.INFO  [x] Received 7/15/2002,1.142856956
2023-10-03 15:43:54,901.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,902.Netflix_close_consumer.INFO  [x] Received 7/16/2002,1.126428962
2023-10-03 15:43:54,902.Netflix_close_consumer.INFO  [x] Done.
2023-10-03 15:43:54,903.Netflix_close_consumer.INFO  [x] Received 7/17/2002,1.08928597
2023-10-03 15:43:54,903.Netflix_close_consumer.INFO  [x] Done.
