2023-10-03 15:42:20,923.Netflix_Producer.INFO ==================================================
2023-10-03 15:42:20,924.Netflix_Producer.INFO Today is 2023-10-03 at 03:42 PM
2023-10-03 15:42:20,924.Netflix_Producer.INFO Running on: nt Windows 10
2023-10-03 15:42:20,925.Netflix_Producer.INFO Python version:  3.9.12
2023-10-03 15:42:20,926.Netflix_Producer.INFO Python path: C:\Users\alhal\miniconda3
2023-10-03 15:42:20,926.Netflix_Producer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\Module07_Netflix
2023-10-03 15:42:20,926.Netflix_Producer.INFO ==================================================
2023-10-03 15:43:29,244.Netflix_Producer.INFO  [x] Sent b'8/27/2002,0.873570979'
2023-10-03 15:43:29,250.Netflix_Producer.INFO  [x] Sent b'8/27/2002,0.967857003'
2023-10-03 15:43:29,257.Netflix_Producer.INFO  [x] Sent b'8/27/2002,4984000'
2023-10-03 15:43:30,341.Netflix_Producer.INFO  [x] Sent b'8/28/2002,0.864286005'
2023-10-03 15:43:30,402.Netflix_Producer.INFO  [x] Sent b'8/28/2002,0.861428976'
2023-10-03 15:43:30,601.Netflix_Producer.INFO  [x] Sent b'8/28/2002,2275000'
2023-10-03 15:43:31,692.Netflix_Producer.INFO  [x] Sent b'8/29/2002,0.90357101'
2023-10-03 15:43:31,699.Netflix_Producer.INFO  [x] Sent b'8/29/2002,0.832857013'
2023-10-03 15:43:31,705.Netflix_Producer.INFO  [x] Sent b'8/29/2002,2395400'
2023-10-03 15:43:32,719.Netflix_Producer.INFO  [x] Sent b'8/30/2002,0.936429024'
2023-10-03 15:43:32,727.Netflix_Producer.INFO  [x] Sent b'8/30/2002,0.914286017'
2023-10-03 15:43:32,737.Netflix_Producer.INFO  [x] Sent b'8/30/2002,2121000'
2023-10-03 15:43:33,758.Netflix_Producer.INFO  [x] Sent b'9/3/2002,0.925000012'
2023-10-03 15:43:33,765.Netflix_Producer.INFO  [x] Sent b'9/3/2002,0.936429024'
2023-10-03 15:43:33,771.Netflix_Producer.INFO  [x] Sent b'9/3/2002,1593200'
2023-10-03 15:43:34,786.Netflix_Producer.INFO  [x] Sent b'9/4/2002,0.928570986'
2023-10-03 15:43:34,793.Netflix_Producer.INFO  [x] Sent b'9/4/2002,0.925714016'
